State,District,Market Name,Arrival(QTL),Variety,MODAL Price (RS/QTL),MIN Price (RS/QTL),MAX Price (RS/QTL),CropName
Gujarat,Dahod,Dahod,185,Other,1240,1200,1250,Bajra
Uttar Pradesh,Etah,Etah,180,Hybrid,1220,1200,1240,Bajra
Karnataka,Koppal,Kustagi,180,Hybrid,1405,1400,1410,Bajra
Rajasthan,Sikar,Sri Madhopur,178,Other,1244,1200,1275,Bajra
Rajasthan,Dausa,Lalsot,175,Other,1250,1180,1266,Bajra
Uttar Pradesh,Aligarh,Charra,175,Hybrid,1200,1150,1220,Bajra
Maharashtra,Dhule,Dhule,170,Other,1405,1355,1535,Bajra
Uttar Pradesh,Agra,Agra,150,Deshi,1220,1200,1250,Bajra
Uttar Pradesh,Auraiya,Auraiya,150,Hybrid,1240,1160,1300,Bajra
Uttar Pradesh,Hathras,Haathras,140,Hybrid,1250,1200,1260,Bajra
Uttar Pradesh,Mathura,Mathura,120,Hybrid,1220,1210,1235,Bajra
Uttar Pradesh,Firozabad,Sirsaganj,111,Hybrid,1190,1180,1200,Bajra
Uttar Pradesh,Agra,Achnera,110,Deshi,1230,1200,1260,Bajra
Uttar Pradesh,Etah,Awagarh,110,Hybrid,1100,1000,1200,Bajra
Uttar Pradesh,Firozabad,Shikohabad,100,Hybrid,1350,1335,1365,Bajra
Uttar Pradesh,Kanpur,Kanpur(Grain),600,Desi (Whole),4950,4850,5000,BengalGram
Maharashtra,Dhule,Dhule,540,Other,4940,4150,5025,BengalGram
Maharashtra,Bhandara,Pavani,520,Other,5000,4900,5100,BengalGram
Gujarat,Patan,Radhanpur,450,Desi (Whole),5085,5000,5120,BengalGram
Uttar Pradesh,Hamirpur,Maudaha,260,Desi (Whole),5000,4900,5100,BengalGram
Karnataka,Raichur,Raichur,250,Jawari/Local,4679,3606,5225,BengalGram
Maharashtra,Nanded,Hadgaon,230,Other,4850,4700,5000,BengalGram
Karnataka,Dharwad,Hubli (Amaragol),200,Jawari/Local,5042,3560,5218,BengalGram
Uttar Pradesh,Jhansi,Mauranipur,200,Desi (Whole),5045,4825,5100,BengalGram
Maharashtra,Vashim,Malegaon(Vashim),200,Other,4500,4200,5000,BengalGram
Maharashtra,Yavatmal,Umarkhed,170,Other,4300,4200,4400,BengalGram
Karnataka,Belgaum,Ramdurga,160,Other,4500,4500,4500,BengalGram
Maharashtra,Jalgaon,Jalgaon,130,Other,5000,5000,5000,BengalGram
Karnataka,Gadag,Laxmeshwar,110,Jawari/Local,4174,3389,5085,BengalGram
Maharashtra,Jalana,Jalana,1180,Other,1900,1300,3500,Jowar
Uttar Pradesh,Kanpur,Kanpur(Grain),400,Red,1850,1800,1900,Jowar
Karnataka,Gadag,Gadag,360,Jowar ( White),1717,1004,2909,Jowar
